id,Velocidad,Fecha-hora,Tipo de vehiculo,contador_arriba,contador_abajo
7,77,2024-01-11 17:52:29.159896,2,1,0
12,51,2024-01-11 17:52:33.955768,2,2,0
11,61,2024-01-11 17:52:36.391722,2,3,0
20,81,2024-01-11 17:52:42.382100,2,4,0
2,56,2024-01-11 18:09:45.637326,2,4,1
4,58,2024-01-11 18:09:54.196717,2,4,2
10,63,2024-01-11 18:10:02.332495,2,4,3
12,64,2024-01-11 18:10:03.779496,2,4,4
15,45,2024-01-11 18:10:08.798307,2,4,5
19,46,2024-01-11 18:10:10.207826,2,4,6
23,40,2024-01-11 18:10:12.105822,2,4,7
25,49,2024-01-11 18:10:13.756821,2,4,8
29,35,2024-01-11 18:10:17.360822,2,4,9
36,43,2024-01-11 18:10:18.186823,2,4,10
24,35,2024-01-11 18:10:19.397369,2,5,10
27,56,2024-01-11 18:10:19.838371,2,6,10
48,45,2024-01-11 18:10:21.502843,2,6,11
50,46,2024-01-11 18:10:21.898842,2,7,11
41,45,2024-01-11 18:10:25.123841,2,8,11
73,58,2024-01-11 18:10:26.531842,7,9,11
88,66,2024-01-11 18:10:27.455843,2,9,12
84,41,2024-01-11 18:10:27.980843,2,9,13
66,57,2024-01-11 18:10:29.806562,2,10,13
103,64,2024-01-11 18:10:31.561561,2,10,14
55,48,2024-01-11 18:10:31.744560,7,11,14
120,60,2024-01-11 18:10:35.241079,7,11,15
134,54,2024-01-11 18:10:40.913758,2,12,15
132,13,2024-01-11 18:10:45.774749,2,13,15
153,43,2024-01-11 18:10:45.945752,2,13,16
173,88,2024-01-11 18:10:58.408776,2,13,17
